time,position,velocity,acceleration,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11
47.5,2706.92210542983,6.95839946483157,-0.206807335734817,0,0,0,0,1,1,0,1,0,1,0
47.6,2707.65256421057,6.97803447703721,-0.188561463801695,0,0,0,0,1,1,0,1,0,1,0
47.7,2708.37844060857,6.9986773442392,-0.182213624268355,0,0,0,0,1,1,0,1,0,1,0
47.8,2709.10809867123,7.02799479166667,-0.177559269554952,0,0,0,0,1,1,0,1,0,1,0
47.9,2709.83960933953,7.04318576388889,-0.182167330782184,0,0,0,0,1,1,0,1,0,1,0
48.0,2710.5690617432,7.07573784722222,-0.190404541077908,0,0,0,0,1,1,0,1,0,1,0
48.1,2711.29687925525,7.12232021339947,-0.192016956506038,0,0,0,0,1,1,0,1,0,1,0
48.2,2712.02355274099,7.13323362253972,-0.196352137506776,0,0,0,0,1,1,0,1,0,1,1
48.3,2712.7528740012,7.154917835449,-0.197495290696713,0,0,0,0,1,1,0,1,0,1,1
48.4,2713.48850636815,7.18200958198075,-0.206174504585666,0,0,0,0,1,1,0,1,0,1,1
48.5,2714.21961542174,7.2015778400884,-0.229166147408723,0,0,0,0,1,1,0,1,0,1,1
48.6,2714.95268913634,7.22439236111111,-0.269671454851784,0,0,0,0,1,1,0,1,0,1,1
48.7,2715.68770441095,7.24066840277778,-0.305644219504598,0,0,0,0,1,1,0,1,0,1,1
48.8,2716.42345093923,7.265625,-0.342259545076146,0,0,0,0,1,1,0,1,0,1,1
48.9,2717.16117643678,7.28298611111111,-0.391143907179439,0,0,0,0,1,1,0,1,0,1,1
49.0,2717.90060417287,7.2808340872051,-0.441862837771967,0,0,0,0,1,1,0,1,0,1,1
49.1,2718.64144007061,7.2786513092817,-0.491529543658543,0,0,0,0,1,1,0,1,0,1,1
49.2,2719.38421919072,7.25587947072742,-0.543841528300428,0,0,0,0,1,1,0,1,0,1,1
49.3,2720.12766625608,7.20731350227312,-0.571431014205167,0,0,0,0,1,1,0,1,0,1,1
49.4,2720.87104539401,7.27832863468868,-0.578099050913774,0,0,0,0,1,1,0,1,0,1,1
49.5,2721.61555153162,7.26128472222222,-0.571861517627211,0,0,0,0,1,1,0,1,0,1,1
49.6,2722.35687677358,7.24609375,-0.548310698004313,0,0,0,0,1,1,0,1,0,1,1
